
========================================================================
  ALL-TRACKS COMPREHENSIVE RESULTS REPORT
  Generated : 2026-05-19
  Tracks    : CharlesTown, Delta Downs, Evangeline Downs, Fair Grounds, Fairmount Park, Gulfstream Park, Mahoning Valley
  Min starts: 5 (trainers/jockeys) | 3+ wins (iron horses)
========================================================================


========================================================================
  TRACK: CHARLESTOWN
  Files : 394 processed  |  0 skipped
  Races : 3233
========================================================================

  -- TRAINER WIN STATS (min 5 starts) --
  Name                               Sts    W    Win%   Avg $Win
  Weigelia                                6
  Tonalist                                6
  Preservationist                         6
  Friend Or Foe                           6
  City of Light                           6
  Volatile                                6
  Honor A. P                              6
  Leofric                                 6
  Gun Runner                              5
  Handsome Mike                           5
  Commissioner                            5
  Successful Appeal                       5
  Race Day                                5
  Graydar                                 5
  Central Banker                          5
  Destin                                  5
  Not This Time                           5
  Bullet Gone Astray                      5
  First Samurai                           5
  Gemologist                              5
  Bandbox                                 5
  Fast Anna                               5
  Lookin At Lucky                         5
  Congrats                                5
  American Freedom                        5
  Sky Mesa                                5
  Cinco Charlie                           5
  Alliance                                5
  Ghostzapper                             5
  Conveyance                              5
  Promises Fulfilled                      5
  Instagrand                              5
  Valiant Minister                        5
  American Pharoah                        5
  Maximum Security                        5
  Super Saver                             4
  Point of Entry                          4
  Smarty Jones                            4
  Fort Larned                             4
  Ride On Curlin                          4
  Hunt Crossing                           4
  Daddy Long Legs                         4
  Battalion Runner                        4
  Buffum                                  4
  No Never No More                        4
  Bernardini                              4
