
========================================================================
  ALL-TRACKS COMPREHENSIVE RESULTS REPORT
  Generated : 2026-05-19
  Tracks    : CharlesTown, Delta Downs, Evangeline Downs, Fair Grounds, Fairmount Park, Gulfstream Park, Mahoning Valley
  Min starts: 5 (trainers/jockeys) | 3+ wins (iron horses)
========================================================================


========================================================================
  TRACK: CHARLESTOWN
  Files : 394 processed  |  0 skipped
  Races : 3233
========================================================================

  -- TRAINER WIN STATS (min 5 starts) --
  Name                               Sts    W    Win%   Avg $Win
  Ducoing, Sturges                   187   26   13.9%      $9.85
  Camejo, Jose                       147   24   16.3%      $9.73
  Foley, Gregory                     159   24   15.1%     $13.60
  Desormeaux, J.                     213   24   11.3%     $13.22
  Jeansonne, Justin                  117   22   18.8%      $9.49
  Hartman, Chris                     178   22   12.4%     $23.75
  Landry, Allen                      150   21   14.0%      $8.45
  Kenneally, Eddie                    92   20   21.7%      $8.73
  Thomas, Lee                        166   20   12.0%     $14.24
  Duhon, Joe                         210   20    9.5%     $16.53
  Wong, Jonathan                      87   18   20.7%      $6.81
  Catalano, Wayne                    128   18   14.1%     $15.19
  Felks, Joseph                       41   17   41.5%      $6.93
  Diodoro, Robertino                  84   17   20.2%      $7.76
  Scherer, Gary                      140   17   12.1%     $14.85
  Schultz, Lindsay                   116   16   13.8%     $16.60
  Gelner, Jayde                      125   16   12.8%     $11.36
  Tracy, Tanner                      150   16   10.7%     $12.35
  Foster, Joseph                     182   16    8.8%     $16.30
  Atras, Rob                          73   15   20.5%     $14.88
  Beckman, D. Whitworth               89   15   16.9%     $13.89
  Rivelli, Larry                      91   15   16.5%      $5.88
  Breaux, Samuel                     165   15    9.1%     $15.00
